run_id,iteration,individual_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,class_weight_power,focal_gamma,learning_rate,dropout,hidden_size,num_layers,weight_decay,label_smoothing,batch_size,scheduler_patience,input_seq_length,class_weight_power_lower,focal_gamma_lower,learning_rate_lower,dropout_lower,hidden_size_lower,num_layers_lower,weight_decay_lower,label_smoothing_lower,batch_size_lower,scheduler_patience_lower,input_seq_length_lower,class_weight_power_upper,focal_gamma_upper,learning_rate_upper,dropout_upper,hidden_size_upper,num_layers_upper,weight_decay_upper,label_smoothing_upper,batch_size_upper,scheduler_patience_upper,input_seq_length_upper,pop_size,iterations,n_workers,min_features,epochs_per_eval,np_neighbors,pf_max,elitist_selection,elitist_constant,fitness
f03294d1,-1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0.300987968605918,3.5099447366191194,0.001960432629389424,0.30888848026989624,175.01673609119703,2.24253832353965,0.006362760348313439,0.09412588768700061,121.68193759050298,7.132715438286416,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.006715771608286911
f03294d1,-1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0.350136651388635,3.3560914007091944,0.0009216205325436633,0.3382784137933098,247.9880120302896,2.6243133301341324,0.0012720098183331505,0.11556868412140939,65.39016959198358,7.655392346996992,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.014270614469899677
f03294d1,-1,2,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0.39730371441868095,2.428154321976082,0.0012066541017438058,0.2848101765646329,205.78925365818293,2.2396100364513214,0.014065661061690247,0.1355230684737686,113.33658953195338,6.462618820052178,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.0
f03294d1,-1,3,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0.39968524568783825,2.896775461469777,0.001085459699540091,0.4368093534101785,174.05237122580093,2.3071109949657993,0.00998916185605278,0.07821528188442584,42.05529801630257,11.963876669886535,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.015148837595820452
f03294d1,-1,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0.267535861983659,1.3422009336501097,0.002450429078652844,0.2542210343443743,163.85598400232635,2.1681212887931443,0.011971007267307352,0.14157239643760539,62.22457670263995,10.722323981046397,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.029292863085449827
f03294d1,-1,5,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0.26985632016204775,3.8217931031350334,0.0016189256635457407,0.34555850935980603,225.29525039777747,2.1685466518808485,0.014666972739152583,0.10932131584747529,112.55557815216669,7.714189267866348,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.0023059378557685572
f03294d1,-1,6,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0.3359362841318718,3.188390857632185,0.0017730126208140551,0.446198851906373,279.43707900349017,2.061983256708398,0.01605199528153135,0.1426081319161857,116.08418121496369,8.772633112455278,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.043223804192815705
f03294d1,-1,7,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0.33316552649276543,2.2321135458270414,0.0015642882811035138,0.29160330470034845,160.100981856882,2.9978149051343412,0.003054474143705932,0.1562494470998601,120.83889140144433,10.22180055688633,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.052008232542496355
f03294d1,-1,8,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0.3207703204547694,2.6960467536578143,0.0018741968941887294,0.253120448070413,192.6614290145577,2.8718681726492497,0.0077277482483438225,0.11388356109886233,42.3774951512637,8.833011140717108,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.02216000030932943
f03294d1,-1,9,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0.2747056347612736,1.7982379486182958,0.002858220062239966,0.44286159712834405,196.7255783157077,2.743007503442102,0.016585094118852443,0.14209166239890342,37.72394490356126,7.87235615353932,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.005807320195395301
f03294d1,-1,10,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0.3823607853537533,2.894592828516126,0.0022021209484828323,0.26609943280364046,252.52609677421344,2.256465281533103,0.0050762119206700426,0.06544228359810922,132.19135602168672,11.183560909503331,16.0,0.25,1.0,0.0008,0.18,140,2,0.001,0.06,32,6,16,0.4,4.0,0.003,0.45,280,3,0.018,0.2,160,12,16,12,70,15,5,100,2,0.18,True,0.28,-0.0
